1_14_7,104_18_14
1_14_8,103_13_4
1_14_9,108_17_6
1_14_10,101_13_2
1_14_11,101_15_2
1_14_12,106_6_19
1_14_13,110_8_3
1_14_14,106_8_11
1_14_15,108_5_17
1_14_16,106_14_11
1_14_17,102_13_17
1_14_18,104_14_6
1_14_19,110_20_13
1_14_20,101_4_20
1_15_1,110_1_15
1_15_2,103_20_11
1_15_3,106_9_7
1_15_4,106_16_17
1_15_5,105_2_17
1_15_6,110_2_7
1_15_7,103_18_10
1_15_8,103_10_9
1_15_9,101_2_4
1_15_10,106_2_12
1_15_11,110_16_17
1_15_12,109_9_1
1_15_13,108_9_14
1_15_14,110_18_15
1_15_15,106_5_12
1_15_16,101_15_16
1_15_17,109_12_17
1_15_18,110_19_5
1_15_19,104_11_8
1_15_20,102_4_20
1_16_1,104_6_2
1_16_2,107_17_3
1_16_3,105_5_7
1_16_4,108_16_4
1_16_5,104_11_8
1_16_6,104_10_2
1_16_7,103_8_9
1_16_8,101_13_18
1_16_9,109_8_7
1_16_10,102_15_4
1_16_11,101_4_10
1_16_12,103_16_7
1_16_13,103_16_8
1_16_14,108_7_14
1_16_15,102_11_10
1_16_16,107_1_11
1_16_17,108_17_7
1_16_18,110_11_3
1_16_19,108_9_18
1_16_20,103_19_9
1_17_1,105_20_10
1_17_2,103_9_10
1_17_3,106_19_16
1_17_4,104_19_18
1_17_5,103_7_14
1_17_6,101_18_19
1_17_7,109_2_11
1_17_8,106_15_17
1_17_9,107_12_4
1_17_10,108_7_4
1_17_11,108_15_14
1_17_12,105_2_2
1_17_13,104_15_16
1_17_14,108_11_15
1_17_15,110_7_9
1_17_16,107_4_8
1_17_17,103_9_3
1_17_18,101_2_13
1_17_19,103_1_16
1_17_20,105_6_6
1_18_1,106_1_19
1_18_2,106_14_12
1_18_3,104_18_19
1_18_4,101_2_4
1_18_5,109_9_7
1_18_6,109_9_14
1_18_7,104_3_8
1_18_8,103_3_14
1_18_9,110_19_5
1_18_10,107_20_15
1_18_11,103_14_1
1_18_12,105_9_4
1_18_13,103_3_1
1_18_14,105_18_15
1_18_15,105_18_15
1_18_16,106_18_14
1_18_17,103_9_8
1_18_18,102_19_15
1_18_19,106_17_2
1_18_20,104_8_20
1_19_1,103_20_9
1_19_2,108_6_9
1_19_3,109_14_10
1_19_4,104_1_13
1_19_5,101_4_2
1_19_6,108_12_6
1_19_7,110_1_16
1_19_8,109_12_17
1_19_9,101_17_1
1_19_10,103_19_17
1_19_11,110_14_18
1_19_12,101_18_12
1_19_13,106_19_2
1_19_14,107_12_16
1_19_15,104_17_13
1_19_16,107_19_19
1_19_17,104_19_14
1_19_18,103_3_4
1_19_19,104_17_14
1_19_20,106_9_15
1_20_1,110_4_3
1_20_2,106_17_11
1_20_3,108_12_1
1_20_4,106_16_16
1_20_5,102_6_9
1_20_6,110_19_5
1_20_7,102_3_4
1_20_8,102_20_4
1_20_9,109_3_4
1_20_10,103_16_5
1_20_11,107_7_9
1_20_12,105_17_19
1_20_13,109_20_18
1_20_14,101_5_15
1_20_15,108_12_1
1_20_16,108_6_5
1_20_17,106_17_17
1_20_18,107_5_7
1_20_19,106_2_15
1_20_20,106_5_20
2_1_1,109_1_10
2_1_2,101_19_18
2_1_3,106_5_7
2_1_4,106_2_3
